id,Year,Continent,Continent__colour,Country,City/State,__latitude,__longitude,PFGE,spa-type,Reference
S71,2007,Asia,#253494,Thailand,Ubon Ratchathani,"15.2286861	",104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S40,2006,Asia,#253494,Thailand,Ubon Ratchathani,"15.2286861	",104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S102,2007,Asia,#253494,Thailand,Ubon Ratchathani,"15.2286861	",104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
TW20,2003,Europe,#e34a33,United Kingom,London,51.5073509,-0.1277583,,,Edgeworth. 2007. CID 44:493
S7,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S38,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
DEN907,2001,Europe,#e34a33,Denmark,,56.26392,"	9.50178500000004",Brazilian,t037,Faria. 2005. JCM. 43: 1836
S26,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S97,2007,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S25,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S106,2007,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S2,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S78,2007,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S42,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S81,2007,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S24,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S21,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
S39,2006,Asia,#253494,Thailand,Ubon Ratchathani,15.2286861,104.8564217,,,Nickerson. 2009. PLoS One 4:e6512
